,q_values,state,action
350,[[ 2.087606   2.1638756 -5.7658134]],"[ 0.1229949   0.07205703 -0.8374043  -0.89434767 -0.19323545  0.
  1.          0.        ]",[0. 1. 0.]
351,[[ 2.1954398  2.2270913 -5.8898354]],"[ 0.03814501  0.02800671 -0.91624477 -0.86617852 -0.21440548  0.
  1.          0.        ]",[0. 1. 0.]
352,[[ 1.8821545  2.008796  -6.466716 ]],"[-0.06671039 -0.06548085 -0.56985922 -0.85892775 -0.24490174  0.
  1.          0.        ]",[0. 1. 0.]
353,[[ 1.5589588  1.772682  -7.2191033]],"[-0.01950176 -0.04975855 -0.56985922 -0.862467   -0.23273937  0.
  1.          0.        ]",[0. 1. 0.]
354,[[ 1.6384135  1.849544  -7.0351477]],"[ 0.05560546  0.06248553 -0.781151   -0.88357998 -0.21314973  0.
  1.          0.        ]",[0. 1. 0.]
355,[[ 1.9145751  2.0326667 -6.523037 ]],"[ 0.18429323  0.23756063 -0.69028624 -0.89486831 -0.17667036  0.
  1.          0.        ]",[0. 1. 0.]
356,[[ 2.6037884  2.5197182 -5.199295 ]],"[ 0.21334033  0.31743234 -0.36242433 -0.89784225 -0.16797738  0.
  1.          0.        ]",[1. 0. 0.]
357,[[ 2.800389   2.640119  -4.9851613]],"[ 0.17290302  0.23882477 -0.46293559 -0.91743286 -0.1766082   0.
  1.          0.        ]",[1. 0. 0.]
358,[[ 2.5393457  2.4623594 -5.423843 ]],"[ 0.19325345  0.20190448 -0.46293559 -0.94491674 -0.17110682  0.
  1.          0.        ]",[1. 0. 0.]
359,[[ 2.6153114  2.529089  -5.244041 ]],"[ 0.12037129  0.08388952 -0.83959061 -0.87808448 -0.18612441  0.
  1.          0.        ]",[1. 0. 0.]
360,[[ 2.2788863  2.2810817 -5.5993853]],"[ 0.15220168  0.08175684 -0.83959061 -0.90194298 -0.17828742  0.
  1.          0.        ]",[0. 1. 0.]
361,[[ 2.4259148  2.3908248 -5.3093376]],"[ 0.14536483  0.07821768 -0.856657   -0.90617068 -0.17959685  0.
  1.          0.        ]",[1. 0. 0.]
362,[[ 2.40514    2.3742044 -5.357507 ]],"[ 0.10382905  0.04235837 -0.856657   -0.95432028 -0.18736691  0.
  1.          0.        ]",[1. 0. 0.]
363,[[ 2.2790823  2.2866347 -5.7159467]],"[ 0.11798126  0.05955332 -0.99922384 -0.92830965 -0.18444378  0.
  1.          0.        ]",[0. 1. 0.]
364,[[ 2.3475506  2.3234239 -5.4874964]],"[-0.02247445 -0.12531949 -0.46709767 -0.95089014 -0.21205036  0.
  1.          0.        ]",[1. 0. 0.]
365,[[ 1.7452731  1.9988573 -6.7010436]],"[-0.09564136 -0.29010022 -0.07224361 -0.84702625 -0.229182    0.
  1.          0.        ]",[0. 1. 0.]
366,[[ 1.4768308  1.9004816 -6.8953805]],"[-0.13672326 -0.31363462 -0.07224361 -0.91440404 -0.23952539  0.
  1.          0.        ]",[0. 1. 0.]
367,[[ 1.4618964  1.9132956 -7.094646 ]],"[-0.1581323  -0.35636561  0.0097631  -0.9228939  -0.24497122  0.
  1.          0.        ]",[0. 1. 0.]
368,[[ 1.4413989  1.944551  -7.111127 ]],"[-0.03366814 -0.24503056 -0.42550585 -0.93656981 -0.22259783  0.
  1.          0.        ]",[0. 1. 0.]
369,[[ 1.6131676  1.9295069 -6.9124193]],"[ 0.00552506 -0.14958502 -0.76453935 -0.92292006 -0.21524402  0.
  1.          0.        ]",[0. 1. 0.]
370,[[ 1.7632248  1.9805598 -6.611598 ]],"[-0.0511412  -0.18341794 -0.60872513 -0.93078272 -0.22692687  0.
  1.          0.        ]",[0. 1. 0.]
371,[[ 1.6275773  1.8790419 -6.931753 ]],"[-0.22916306 -0.32287552 -0.04588528 -0.81996348 -0.27351596  0.
  1.          0.        ]",[0. 1. 0.]
372,[[ 1.374824   1.855219  -7.1330576]],"[-0.29022387 -0.46185439  0.20701316 -0.87494465 -0.29444425  0.
  1.          0.        ]",[0. 1. 0.]
373,[[ 1.384675   1.9725741 -7.2296195]],"[-0.15254998 -0.29826496 -0.03459129 -0.8330377  -0.26728962  0.
  1.          0.        ]",[0. 1. 0.]
374,[[ 1.3951927  1.8364427 -7.232155 ]],"[-0.04673591 -0.17722705 -0.5339125  -0.77894023 -0.24464686  0.
  1.          0.        ]",[0. 1. 0.]
375,[[ 1.4846358  1.7356397 -7.0527735]],"[-0.06016552 -0.11522554 -0.64052526 -0.88736233 -0.24810799  0.
  1.          0.        ]",[0. 1. 0.]
376,[[ 1.5601473  1.7854025 -7.260993 ]],"[-0.09668167 -0.13746472 -0.57120641 -0.88234281 -0.2574247   0.
  1.          0.        ]",[0. 1. 0.]
377,[[ 1.5043125  1.7422    -7.3639383]],"[-0.12943763 -0.23107956 -0.32965515 -0.86339344 -0.26592218  0.
  1.          0.        ]",[0. 1. 0.]
378,[[ 1.4217956  1.757066  -7.369648 ]],"[ 0.02351113 -0.00147977 -0.91432179 -0.69140844 -0.23512998  0.
  1.          0.        ]",[0. 1. 0.]
379,[[ 1.6031322  1.8067642 -6.78758  ]],"[ 0.01091585  0.04586789 -0.91432179 -0.93485091 -0.23789643  0.
  1.          0.        ]",[0. 1. 0.]
380,[[ 1.7615808  1.9306424 -7.123222 ]],"[-0.01989208  0.02626203 -0.91432179 -0.91172233 -0.24450786  0.
  1.          0.        ]",[0. 1. 0.]
381,[[ 1.6869206  1.8693323 -7.2260165]],"[-0.08252797 -0.07567086 -0.62324346 -0.8628058  -0.25848953  0.
  1.          0.        ]",[0. 1. 0.]
382,[[ 1.5238532  1.7392187 -7.385137 ]],"[ 0.0355692   0.06352633 -0.9323189  -0.77480441 -0.23579186  0.
  1.          0.        ]",[0. 1. 0.]
383,[[ 1.68716    1.8636501 -6.9126444]],"[ 0.15097575  0.3145104  -0.68507426 -0.83384292 -0.21101873  0.
  1.          0.        ]",[0. 1. 0.]
384,[[ 2.2018533  2.2178574 -6.3916283]],"[ 0.30117067  0.51232449 -0.27114231 -0.80308521 -0.17297608  0.
  1.          0.        ]",[0. 1. 0.]
385,[[ 3.3019705  2.7697296 -4.63581  ]],"[ 0.28784965  0.42933583 -0.12775082 -0.80000791 -0.17518155  0.
  1.          0.        ]",[1. 0. 0.]
386,[[ 3.0544648  2.5697012 -4.9876065]],"[ 0.15151526  0.22402385 -0.59474208 -0.88662729 -0.19939878  0.
  1.          0.        ]",[1. 0. 0.]
387,[[ 2.240514   2.2491782 -6.1668324]],"[ 0.21174667  0.17304019 -0.59474208 -0.90756482 -0.18463259  0.
  1.          0.        ]",[0. 1. 0.]
388,[[ 2.4574742  2.4283695 -5.626827 ]],"[ 0.19856761  0.14525403 -0.54545091 -0.89072994 -0.18694542  0.
  1.          0.        ]",[1. 0. 0.]
389,[[ 2.3589854  2.3598094 -5.7639337]],"[ 0.23513467  0.13550306 -0.46343562 -0.9133602  -0.17849507  0.
  1.          0.        ]",[0. 1. 0.]
390,[[ 2.503097  2.478231 -5.496017]],"[ 0.27791287  0.16475701 -0.26639919 -0.89316919 -0.16856933  0.
  1.          0.        ]",[1. 0. 0.]
391,[[ 2.693809   2.6628346 -5.114283 ]],"[ 0.18257538  0.13430675 -0.02648369 -0.74198964 -0.18339581  0.
  1.          0.        ]",[1. 0. 0.]
392,[[ 2.1802177  2.269979  -5.9002037]],"[ 0.25177563  0.13812206 -0.02648369 -0.90984775 -0.16807938  0.
  1.          0.        ]",[0. 1. 0.]
393,[[ 2.5400877  2.5689678 -5.405981 ]],"[ 0.24016775  0.11101087 -0.02648369 -0.95257905 -0.16979578  0.
  1.          0.        ]",[0. 1. 0.]
394,[[ 2.459506   2.5513859 -5.5954676]],"[ 0.20772043  0.1235157   0.13989491 -0.85966406 -0.17443856  0.
  1.          0.        ]",[0. 1. 0.]
395,[[ 2.2998714  2.3805628 -5.861512 ]],"[ 0.12536094 -0.02060601 -0.40032876 -0.92696911 -0.18667166  0.
  1.          0.        ]",[0. 1. 0.]
396,[[ 2.0995164  2.199431  -6.034711 ]],"[ 0.13416552 -0.06679329 -0.40032876 -0.96390567 -0.1851155   0.
  1.          0.        ]",[0. 1. 0.]
397,[[ 2.123014   2.238269  -6.0234437]],"[ 0.12173659 -0.1418438  -0.40032876 -0.95930471 -0.18686118  0.
  1.          0.        ]",[0. 1. 0.]
398,[[ 2.0307596  2.2033372 -6.1038985]],"[ 0.11052502 -0.20140833 -0.64127523 -0.82120257 -0.18835862  0.
  1.          0.        ]",[0. 1. 0.]
399,[[ 1.9043983  2.0777333 -5.902473 ]],"[ 0.13120574 -0.05768305 -0.352129   -0.92617857 -0.18534659  0.
  1.          0.        ]",[0. 1. 0.]
400,[[ 2.0705907  2.2058651 -6.0448184]],"[ 0.20582157 -0.07864789 -0.80185177 -0.93740884 -0.17429426  0.
  1.          0.        ]",[0. 1. 0.]
401,[[ 2.4048862  2.4196224 -5.2899   ]],"[ 0.39944612  0.46298194 -0.03607004 -0.83433932 -0.13870298  0.
  1.          0.        ]",[0. 1. 0.]
402,[[ 4.2660027  3.5317886 -2.495349 ]],"[ 0.43007826  0.5389897   0.09540226 -0.82790334 -0.13193783  0.
  1.          0.        ]",[1. 0. 0.]
403,[[ 4.7159977  3.7827597 -1.7877989]],"[ 0.36123636  0.33205419 -0.23993058 -0.90668686 -0.13905205  0.
  1.          0.        ]",[1. 0. 0.]
404,[[ 3.84228    3.46593   -3.0301237]],"[ 0.48036741  0.35890654 -0.01857593 -0.84963076 -0.11248633  0.
  1.          0.        ]",[1. 0. 0.]
405,[[ 4.9899077   4.4014497  -0.64685255]],"[ 0.36303809  0.24308358 -0.01857593 -0.88430927 -0.12523363  0.
  1.          0.        ]",[1. 0. 0.]
406,[[ 3.9517643  3.5799022 -2.4845824]],"[ 0.40458117  0.21621075  0.04549362 -0.89998864 -0.11608821  0.
  1.          0.        ]",[1. 0. 0.]
407,[[ 4.2437425  3.8981652 -1.8663932]],"[ 0.204602    0.10313819 -0.87952077 -0.87096323 -0.1409371   0.
  1.          0.        ]",[1. 0. 0.]
408,[[ 3.1892853  3.0316238 -3.3651676]],"[-0.23915163 -0.35576834  0.08578412 -0.51450728 -0.2465028   0.
  1.          0.        ]",[1. 0. 0.]
409,[[ 1.2805891  1.7646043 -6.2567325]],"[-0.27224551 -0.40012065  0.19414195 -0.64088211 -0.2598646   0.
  1.          0.        ]",[0. 1. 0.]
410,[[ 1.3170804  1.8509483 -6.546872 ]],"[-0.08464479 -0.2733427   0.0706116  -0.77400749 -0.21526613  0.
  1.          0.        ]",[0. 1. 0.]
411,[[ 1.473216  1.91299  -6.629409]],"[-0.09440077 -0.20604051 -0.18098432 -0.77051418 -0.218388    0.
  1.          0.        ]",[0. 1. 0.]
412,[[ 1.4934409  1.8510805 -6.6670203]],"[-0.12995463 -0.22731821 -0.088548   -0.67263645 -0.22963402  0.
  1.          0.        ]",[0. 1. 0.]
413,[[ 1.3788108  1.7653635 -6.640243 ]],"[-0.07756159 -0.1885408  -0.088548   -0.9292144  -0.21765585  0.
  1.          0.        ]",[0. 1. 0.]
414,[[ 1.6026049  1.9980395 -6.905325 ]],"[-0.13724128 -0.19665167  0.02137749 -0.82493068 -0.23558639  0.
  1.          0.        ]",[0. 1. 0.]
415,[[ 1.4484144  1.8582485 -7.007356 ]],"[-0.02310713 -0.13057426 -0.33562489 -0.69312415 -0.20926687  0.
  1.          0.        ]",[0. 1. 0.]
416,[[ 1.5676599  1.8333836 -6.4121957]],"[ 0.03836665 -0.07716204 -0.62545378 -0.88117008 -0.19440758  0.
  1.          0.        ]",[0. 1. 0.]
417,[[ 1.9394801  2.0784469 -6.0866427]],"[-0.02296436 -0.09256833 -0.59532347 -0.89356287 -0.21003269  0.
  1.          0.        ]",[0. 1. 0.]
418,[[ 1.7582607  1.9713585 -6.528489 ]],"[-0.00286212 -0.09148859 -0.45116796 -0.93490195 -0.2054523   0.
  1.          0.        ]",[0. 1. 0.]
419,[[ 1.812165   2.0335467 -6.5284004]],"[ 0.03861288 -0.005378   -0.69811007 -0.74380871 -0.19626644  0.
  1.          0.        ]",[0. 1. 0.]
420,[[ 1.8649395  1.996593  -5.9835157]],"[-0.00867382  0.0146601  -0.56059804 -0.91676035 -0.20695354  0.
  1.          0.        ]",[0. 1. 0.]
421,[[ 1.8785564  2.0299563 -6.475158 ]],"[-0.02632306  0.06356008 -0.49468172 -0.87399396 -0.21095299  0.
  1.          0.        ]",[0. 1. 0.]
422,[[ 1.80951    1.9745307 -6.581177 ]],"[-0.08750962 -0.09213698 -0.27687714 -0.94129646 -0.22515119  0.
  1.          0.        ]",[0. 1. 0.]
423,[[ 1.6342311  1.939636  -7.031283 ]],"[-0.17642468 -0.44319378  0.07781152 -0.92914421 -0.24850415  0.
  1.          0.        ]",[0. 1. 0.]
424,[[ 1.4387856  2.0136046 -7.032674 ]],"[-0.16882053 -0.39347214  0.07781152 -0.93091735 -0.24713048  0.
  1.          0.        ]",[0. 1. 0.]
425,[[ 1.4402561  1.9830354 -7.090924 ]],"[-0.16483178 -0.31345191  0.03400886 -0.92987286 -0.24645629  0.
  1.          0.        ]",[0. 1. 0.]
426,[[ 1.442155   1.9289056 -7.1853824]],"[-0.15226361 -0.27325355  0.03400886 -0.93586285 -0.24446161  0.
  1.          0.        ]",[0. 1. 0.]
427,[[ 1.4607611  1.9223005 -7.2273602]],"[-0.24249109 -0.3089994   0.23764784 -0.81800276 -0.26676146  0.
  1.          0.        ]",[0. 1. 0.]
428,[[ 1.3772349  1.9296532 -7.0893164]],"[-0.27313946 -0.37135416  0.43116192 -0.88474888 -0.2751673   0.
  1.          0.        ]",[0. 1. 0.]
429,[[ 1.3960714  2.0364728 -7.21371  ]],"[-0.36441554 -0.38331311  0.51029533 -0.70727157 -0.30367989  0.
  1.          0.        ]",[0. 1. 0.]
430,[[ 1.3248363  1.9266493 -7.0207005]],"[-0.21468144 -0.29360679  0.26014796 -0.81256851 -0.27931425  0.
  1.          0.        ]",[0. 1. 0.]
431,[[ 1.3715615  1.9009956 -7.260815 ]],"[-0.18080772 -0.20813433 -0.13809513 -0.8957603  -0.27358879  0.
  1.          0.        ]",[0. 1. 0.]
432,[[ 1.4132019  1.7906061 -7.486753 ]],"[-0.15852887 -0.24907579  0.27868264 -0.90582933 -0.26996096  0.
  1.          0.        ]",[0. 1. 0.]
433,[[ 1.4164256  1.9044651 -7.4715133]],"[-0.01815258 -0.04364258 -0.35916544 -0.89136862 -0.24613115  0.
  1.          0.        ]",[0. 1. 0.]
434,[[ 1.5925659  1.8239442 -7.380801 ]],"[ 0.1311987   0.16031802 -0.88911743 -0.85765931 -0.21672545  0.
  1.          0.        ]",[0. 1. 0.]
435,[[ 2.0412052  2.108415  -6.5204496]],"[ 0.17858108  0.25194535 -0.9222449  -0.91043411 -0.20651804  0.
  1.          0.        ]",[0. 1. 0.]
436,[[ 2.3235295  2.3143039 -6.1619873]],"[ 0.1457641   0.26619772 -0.83441457 -0.76240906 -0.21196252  0.
  1.          0.        ]",[1. 0. 0.]
437,[[ 2.1303277  2.1748295 -6.2604675]],"[ 0.24556363  0.29365935 -0.62562398 -0.86159223 -0.19066481  0.
  1.          0.        ]",[0. 1. 0.]
438,[[ 2.5480719  2.5103993 -5.6665974]],"[ 0.30455973  0.31149699 -0.40592823 -0.90622875 -0.17700174  0.
  1.          0.        ]",[1. 0. 0.]
439,[[ 2.8833117  2.722681  -5.1571126]],"[ 0.29062965  0.23338409 -0.34230635 -0.95179808 -0.17893137  0.
  1.          0.        ]",[1. 0. 0.]
440,[[ 2.6873302  2.5993652 -5.5147505]],"[ 0.20956516  0.15818459 -0.44889047 -0.91928383 -0.1903046   0.
  1.          0.        ]",[1. 0. 0.]
441,[[ 2.343716   2.3475385 -5.9771986]],"[ 0.19731283  0.12307087 -0.58310128 -0.93893888 -0.19204434  0.
  1.          0.        ]",[0. 1. 0.]
442,[[ 2.308298   2.3281326 -5.9928775]],"[ 0.30921769  0.16244274 -0.31361811 -0.88592672 -0.16944799  0.
  1.          0.        ]",[0. 1. 0.]
443,[[ 2.7459774  2.70931   -5.057164 ]],"[ 0.30253063  0.18176473 -0.05705234 -0.88866841 -0.17028707  0.
  1.          0.        ]",[1. 0. 0.]
444,[[ 2.6853323  2.5961661 -5.313868 ]],"[ 0.32377782  0.14613084 -0.26961437 -0.9174654  -0.1660427   0.
  1.          0.        ]",[1. 0. 0.]
445,[[ 2.799798   2.7499847 -4.9916368]],"[ 0.29519621  0.14929358 -0.21690204 -0.91603872 -0.16924352  0.
  1.          0.        ]",[1. 0. 0.]
446,[[ 2.6922016  2.6583695 -5.205546 ]],"[ 0.16061066  0.05420967 -0.84450053 -0.9357027  -0.18547258  0.
  1.          0.        ]",[1. 0. 0.]
447,[[ 2.346034   2.3425348 -5.622566 ]],"[ 0.14651869 -0.00881683 -0.87296504 -0.93837165 -0.18728261  0.
  1.          0.        ]",[1. 0. 0.]
448,[[ 2.2566798  2.2855206 -5.7245097]],"[-0.02094668 -0.23890721 -0.54566513 -0.85243817 -0.21147946  0.
  1.          0.        ]",[0. 1. 0.]
449,[[ 1.6324537  1.9014544 -6.5316873]],"[ 0.11331197 -0.19743047 -0.54566513 -0.94334651 -0.19017747  0.
  1.          0.        ]",[0. 1. 0.]
450,[[ 1.9839361  2.1514907 -6.099053 ]],"[ 0.12675308 -0.12621481 -0.8548013  -0.9068853  -0.18793643  0.
  1.          0.        ]",[0. 1. 0.]
451,[[ 2.1124742  2.2074206 -5.7841125]],"[ 0.21513842  0.00967333 -0.94118649 -0.88542649 -0.17287322  0.
  1.          0.        ]",[0. 1. 0.]
452,[[ 2.5889475  2.5644612 -4.858646 ]],"[ 0.21347158  0.090815   -0.72952973 -0.92377122 -0.17307895  0.
  1.          0.        ]",[1. 0. 0.]
453,[[ 2.575729  2.521916 -5.135761]],"[ 0.12505429 -0.05199828 -0.99767884 -0.90885559 -0.1841292   0.
  1.          0.        ]",[1. 0. 0.]
454,[[ 2.2489095  2.2777264 -5.5214806]],"[ 0.08969444 -0.13560013 -0.7914691  -0.93287551 -0.18875995  0.
  1.          0.        ]",[0. 1. 0.]
455,[[ 2.0839226  2.19082   -5.859296 ]],"[ 0.22814371  0.1077526  -0.64553599 -0.8442718  -0.16697871  0.
  1.          0.        ]",[0. 1. 0.]
456,[[ 2.6609988  2.6102128 -4.7761617]],"[ 0.36824781  0.35447244 -0.24548863 -0.86239235 -0.13973149  0.
  1.          0.        ]",[1. 0. 0.]
457,[[ 3.9064689  3.493007  -2.8947566]],"[ 0.20804305  0.30601259  0.02522443 -0.89067762 -0.1601361   0.
  1.          0.        ]",[1. 0. 0.]
458,[[ 2.8204756  2.5324779 -5.059902 ]],"[ 0.20363111  0.17079375  0.02522443 -0.94083388 -0.16074019  0.
  1.          0.        ]",[1. 0. 0.]
459,[[ 2.5870824  2.5802083 -5.2635407]],"[ 0.06350584 -0.00734947 -0.67432447 -0.88396791 -0.18134719  0.
  1.          0.        ]",[1. 0. 0.]
460,[[ 2.1641164  2.2122128 -5.6090245]],"[ 0.17762988  0.04412146 -0.76773573 -0.87383891 -0.16067969  0.
  1.          0.        ]",[0. 1. 0.]
461,[[ 2.653123   2.5836606 -4.575306 ]],"[ 0.18568088  0.10342639 -0.69223092 -0.9215036  -0.1591708   0.
  1.          0.        ]",[1. 0. 0.]
462,[[ 2.7358851  2.6308305 -4.592275 ]],"[ 0.55027826  0.71504625  0.53398787  0.00946926 -0.06078226  0.
  1.          0.        ]",[1. 0. 0.]
463,[[ 9.973776  8.867547 11.461563]],"[ 0.49256566  0.46847495  0.53398787 -0.74714442  0.          1.
  0.          0.        ]",[0. 0. 1.]
464,[[8.129207  8.612546  6.9394293]],"[ 0.43177401  0.27734433  0.3186949  -0.89100749 -0.00808636  0.
  1.          0.        ]",[0. 1. 0.]
465,[[7.790503 7.769879 7.0961  ]],"[ 0.55541344  0.31403365  0.50081941 -0.51301361  0.03350576  0.
  1.          0.        ]",[1. 0. 0.]
466,[[10.972959 11.155206 14.794878]],"[ 0.59170695  0.27585011  0.53806888 -0.77219735  0.          1.
  0.          0.        ]",[0. 0. 1.]
467,[[8.079332  9.062941  7.0720353]],"[ 0.56053522  0.23284283  0.56283253 -0.89211578 -0.00398681  0.
  1.          0.        ]",[0. 1. 0.]
468,[[8.263574 8.18513  7.8299  ]],"[ 0.61016592  0.21450753  0.58172006 -0.8326351   0.01546581  0.
  1.          0.        ]",[1. 0. 0.]
469,[[ 9.393229  9.468792 10.56743 ]],"[ 0.59222678  0.19264557  0.59472766 -0.90276415  0.          1.
  0.          0.        ]",[0. 0. 1.]
470,[[7.8058133 8.771622  6.7258396]],"[ 0.60893001  0.17480009  0.59472766 -0.92240133  0.00623942  0.
  1.          0.        ]",[0. 1. 0.]
471,[[8.67501  8.740049 8.792614]],"[ 0.62406574  0.16616823  0.62498756 -0.897885    0.          1.
  0.          0.        ]",[0. 0. 1.]
472,[[7.8608475 8.903372  6.7911053]],"[ 0.60104008  0.13512298  0.56793186 -0.95265562 -0.00234873  0.
  1.          0.        ]",[0. 1. 0.]
473,[[8.149334  8.2581835 7.5985255]],"[ 0.65989349  0.17528465  0.70261613 -0.78188482  0.01855689  0.
  1.          0.        ]",[0. 1. 0.]
474,[[ 9.734771  9.834893 11.381438]],"[ 0.68294971  0.21740643  0.7170192  -0.76306817  0.          1.
  0.          0.        ]",[0. 0. 1.]
475,[[8.188825 9.188194 7.079374]],"[ 0.60351644  0.17559094  0.12247986 -0.90818053 -0.00773629  0.
  1.          0.        ]",[0. 1. 0.]
476,[[8.575208 8.961902 8.691177]],"[ 0.51288592  0.12567     0.09952974 -0.95283874 -0.01701084  0.
  1.          0.        ]",[0. 1. 0.]
477,[[7.4803095 7.829271  6.4194613]],"[ 0.55109787  0.1570386   0.17775241 -0.95239848 -0.00612659  0.
  1.          0.        ]",[0. 1. 0.]
478,[[8.140068 8.482729 7.809895]],"[ 0.56858745  0.16864725  0.22487486 -0.90761395 -0.0010822   0.
  1.          0.        ]",[0. 1. 0.]
479,[[8.522283 8.86769  8.709054]],"[ 0.42073405  0.07476315 -0.05187284 -0.94338798 -0.01611594  0.
  1.          0.        ]",[0. 1. 0.]
480,[[7.054629  7.5052123 5.845053 ]],"[ 0.28241949 -0.0778322  -0.71652984 -0.90706203 -0.03259212  0.
  1.          0.        ]",[0. 1. 0.]
481,[[6.0840125 6.485897  4.1076365]],"[ 0.4144643   0.03949344 -0.53140539 -0.88811075 -0.00208121  0.
  1.          0.        ]",[0. 1. 0.]
482,[[8.0384245 8.86255   8.314181 ]],"[ 0.44957019  0.17777018 -0.29591836 -0.87265725  0.00706656  0.
  1.          0.        ]",[0. 1. 0.]
483,[[8.807916 9.542008 9.896359]],"[ 0.40759539  0.1881819  -0.29591836 -0.93114258  0.          1.
  0.          0.        ]",[0. 0. 1.]
484,[[7.7759175 8.784881  7.025917 ]],"[ 0.36453786  0.15113539 -0.22272238 -0.95095458 -0.00493337  0.
  1.          0.        ]",[0. 1. 0.]
485,[[7.566825  8.074076  7.1508207]],"[ 0.29664528 -0.12796982 -0.95178519 -0.92492736 -0.01287798  0.
  1.          0.        ]",[0. 1. 0.]
486,[[6.9102197 7.578477  6.103163 ]],"[ 0.43955428  0.3269618  -0.40521563 -0.86041823  0.01915441  0.
  1.          0.        ]",[0. 1. 0.]
487,[[ 9.670145 10.406731 11.661094]],"[ 0.41902127  0.41026039 -0.25018842 -0.90222117  0.          1.
  0.          0.        ]",[0. 0. 1.]
488,[[8.180587 9.442745 7.199684]],"[ 0.28554822  0.15336748 -0.82824805 -0.90027257 -0.01614013  0.
  1.          0.        ]",[0. 1. 0.]
489,[[7.1959715 7.7494035 6.3208723]],"[ 0.1525665  -0.12873345 -0.83951946 -0.88892746 -0.03517259  0.
  1.          0.        ]",[0. 1. 0.]
490,[[5.5002294 5.752286  3.2248654]],"[ 0.15036026 -0.18595104 -0.8334515  -0.90573234 -0.0355065   0.
  1.          0.        ]",[0. 1. 0.]
491,[[5.377879  5.627093  3.0150964]],"[ 0.12423763 -0.2434722  -0.58179245 -0.88405469 -0.03928513  0.
  1.          0.        ]",[0. 1. 0.]
492,[[4.9542127 5.1220126 2.2644498]],"[ 0.12960842 -0.20227227 -0.58179245 -0.84069044 -0.03841425  0.
  1.          0.        ]",[0. 1. 0.]
493,[[5.040626  5.203354  2.5207186]],"[ 0.16861558 -0.14254336 -0.82009856 -0.89631477 -0.03229804  0.
  1.          0.        ]",[0. 1. 0.]
494,[[5.6160107 5.900746  3.488074 ]],"[ 0.15838038 -0.15398088 -0.82009856 -0.90063052 -0.03352157  0.
  1.          0.        ]",[0. 1. 0.]
495,[[5.5151215 5.7767367 3.2859077]],"[ 0.18804883 -0.10990116 -0.89574786 -0.94428316 -0.02924443  0.
  1.          0.        ]",[0. 1. 0.]
496,[[5.8330145 6.1401134 3.7626727]],"[ 0.11483669 -0.16082374 -0.68895769 -0.91950204 -0.03742288  0.
  1.          0.        ]",[0. 1. 0.]
497,[[5.1737714 5.301526  2.558098 ]],"[-0.1365176  -0.52092366  0.21395359 -0.89269959 -0.07488691  0.
  1.          0.        ]",[0. 1. 0.]
498,[[ 3.1642296  3.811731  -1.3212835]],"[ 0.03248393 -0.37004453  0.21395359 -0.92330289 -0.04982011  0.
  1.          0.        ]",[0. 1. 0.]
499,[[3.9714732  4.478557   0.22627687]],"[ 0.22990032  0.07459384 -0.85955214 -0.91725803 -0.01321025  0.
  1.          0.        ]",[0. 1. 0.]
500,[[6.93288   7.4214144 6.044921 ]],"[ 0.20940397  0.10548924 -0.85955214 -0.94077773 -0.01618396  0.
  1.          0.        ]",[0. 1. 0.]
501,[[6.752711 7.15117  5.570684]],"[ 0.17860813  0.17125367 -0.99833724 -0.86836255 -0.02054472  0.
  1.          0.        ]",[0. 1. 0.]
502,[[6.7312884 7.1549087 5.533887 ]],"[ 0.18936071  0.1903254  -0.99833724 -0.96205852 -0.01863138  0.
  1.          0.        ]",[0. 1. 0.]
503,[[6.7603383 7.119236  5.35623  ]],"[ 0.02717592 -0.05437996 -0.59280875 -0.89231038 -0.04279893  0.
  1.          0.        ]",[0. 1. 0.]
504,[[4.9936533 5.0332694 2.2437487]],"[ 0.00901153 -0.16276007 -0.53900156 -0.96506819 -0.04584068  0.
  1.          0.        ]",[0. 1. 0.]
505,[[4.7834625 4.904643  1.7273324]],"[-0.08211795 -0.33545943 -0.14521521 -0.89706894 -0.06199006  0.
  1.          0.        ]",[0. 1. 0.]
506,[[ 3.8215432   4.1976223  -0.00939837]],"[-0.07051598 -0.2787125  -0.14521521 -0.95490537 -0.06030017  0.
  1.          0.        ]",[0. 1. 0.]
507,[[3.946624   4.2692304  0.05055138]],"[-0.11408192 -0.27385978 -0.11112095 -0.93080952 -0.06810878  0.
  1.          0.        ]",[0. 1. 0.]
508,[[ 3.7049665   4.046708   -0.45111716]],"[-0.18472468 -0.30319277  0.07354656 -0.91113979 -0.08178478  0.
  1.          0.        ]",[0. 1. 0.]
509,[[ 3.1936257  3.650603  -1.5534081]],"[-0.06151753 -0.18542815 -0.28536947 -0.88914184 -0.06472757  0.
  1.          0.        ]",[0. 1. 0.]
510,[[3.9554994  4.127914   0.06705579]],"[-0.06849605 -0.152122   -0.34618391 -0.92255255 -0.06593268  0.
  1.          0.        ]",[0. 1. 0.]
511,[[4.0060596  4.125863   0.04768628]],"[-0.07334409 -0.16293259 -0.34618391 -0.95947443 -0.06672148  0.
  1.          0.        ]",[0. 1. 0.]
512,[[ 3.9997475   4.130423   -0.05628943]],"[-0.0792423  -0.19452484 -0.11811917 -0.95328537 -0.06762443  0.
  1.          0.        ]",[0. 1. 0.]
