,q_values,state,action
38,[[8.124708  8.6137085 6.71517  ]],"[ 0.66222871  0.26324297  0.8002052  -0.89828825  0.01249699  0.
  1.          0.        ]",[0. 1. 0.]
39,[[ 9.383283  9.171359 10.010308]],"[ 0.70688999  0.27345506  0.85285516 -0.81120819  0.          1.
  0.          0.        ]",[0. 0. 1.]
40,[[8.255328 8.919207 6.857389]],"[ 0.5687782   0.18603757  0.37655621 -0.95298549 -0.01578173  0.
  1.          0.        ]",[0. 1. 0.]
41,[[7.739555  7.7907906 6.5633173]],"[ 0.57098467  0.13834908  0.37655621 -0.9338396  -0.01499277  0.
  1.          0.        ]",[0. 1. 0.]
42,[[7.6848516 7.8451457 6.612654 ]],"[ 0.46109236  0.09962252  0.41878982 -0.95238955 -0.02804444  0.
  1.          0.        ]",[0. 1. 0.]
43,[[6.5719543 6.6970897 4.2662935]],"[ 0.1931389  -0.06544786 -0.95834854 -0.90965123 -0.06902513  0.
  1.          0.        ]",[0. 1. 0.]
44,[[4.7489786 4.8512344 0.8933985]],"[ 0.33929041 -0.01965586 -0.95834854 -0.86832874 -0.02835558  0.
  1.          0.        ]",[0. 1. 0.]
45,[[6.734647  7.387751  5.3148685]],"[ 0.39633829  0.09226999 -0.67292404 -0.93920239 -0.01031484  0.
  1.          0.        ]",[0. 1. 0.]
46,[[7.6860814 8.396509  7.2266774]],"[ 0.27657826  0.02217961 -0.92753222 -0.92624365 -0.03091412  0.
  1.          0.        ]",[0. 1. 0.]
47,[[6.3602266 6.8097444 4.456748 ]],"[ 0.35469277  0.09284617 -0.8913449  -0.94318508 -0.00714054  0.
  1.          0.        ]",[0. 1. 0.]
48,[[7.7346444 8.476306  7.3910675]],"[ 0.45410291  0.34813239 -0.40162632 -0.87244414  0.02683938  0.
  1.          0.        ]",[0. 1. 0.]
49,[[10.0988455 10.875539  12.583515 ]],"[ 0.53013153  0.56810517  0.0321205  -0.86735699  0.          1.
  0.          0.        ]",[0. 0. 1.]
50,[[8.6819   9.830424 7.366909]],"[ 0.57085974  0.4384735   0.10062975 -0.91294738  0.01831928  0.
  1.          0.        ]",[0. 1. 0.]
51,[[10.199287 10.293351 11.961041]],"[ 0.43919358  0.28666524  0.16696481 -0.94911892  0.          1.
  0.          0.        ]",[0. 0. 1.]
52,[[7.683714  8.569507  6.6319494]],"[ 0.42268723  0.1933117   0.00310627 -0.96688918 -0.00278972  0.
  1.          0.        ]",[0. 1. 0.]
53,[[7.827816  8.19656   7.4552274]],"[ 0.42764148  0.117578   -0.40376871 -0.95058324 -0.00108441  0.
  1.          0.        ]",[0. 1. 0.]
54,[[8.126759 8.859127 8.267252]],"[ 0.43468358  0.1137462  -0.37031526 -0.97358357  0.0011988   0.
  1.          0.        ]",[0. 1. 0.]
55,[[8.200319 8.920511 8.409746]],"[ 0.29844144  0.06689496 -0.66897799 -0.94476999 -0.01996474  0.
  1.          0.        ]",[0. 1. 0.]
56,[[6.796989 7.248509 5.493092]],"[ 3.68404284e-01  7.43615701e-02 -6.68977994e-01 -9.30201457e-01
  2.53320385e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
57,[[7.996123 8.761089 8.176894]],"[ 0.33851833  0.06475609 -0.54260488 -0.95367649 -0.00438842  0.
  1.          0.        ]",[0. 1. 0.]
58,[[7.553986  8.156295  7.2685447]],"[ 0.17356813 -0.06471656 -0.69074663 -0.92077814 -0.03305128  0.
  1.          0.        ]",[0. 1. 0.]
59,[[5.6117077 5.7891717 3.282062 ]],"[ 0.02289963 -0.25413497 -0.22200989 -0.85002508 -0.06684175  0.
  1.          0.        ]",[0. 1. 0.]
60,[[ 3.8225043   4.0393295  -0.23017335]],"[ 0.16040001 -0.17201588 -0.36066193 -0.91717764 -0.03059057  0.
  1.          0.        ]",[0. 1. 0.]
61,[[5.224153  5.4678426 2.7051063]],"[ 0.11208749 -0.23270589 -0.48984445 -0.95273473 -0.04162134  0.
  1.          0.        ]",[0. 1. 0.]
62,[[4.87126  5.056059 1.881588]],"[ 0.24421449 -0.04940155 -0.99206372 -0.8806992  -0.00396721  0.
  1.          0.        ]",[0. 1. 0.]
63,[[7.2756877 7.9762836 7.100403 ]],"[ 0.17939339 -0.02762842 -0.83741244 -0.95135081 -0.01779657  0.
  1.          0.        ]",[0. 1. 0.]
64,[[6.3251967 6.6519146 4.895592 ]],"[ 0.15616939 -0.09911062 -0.90200937 -0.97982877 -0.02284087  0.
  1.          0.        ]",[0. 1. 0.]
65,[[5.9271765 6.1947536 4.029967 ]],"[ 0.09164284 -0.19373322 -0.81618485 -0.97352806 -0.03716881  0.
  1.          0.        ]",[0. 1. 0.]
66,[[5.234912  5.3748636 2.6125   ]],"[ 0.19933612 -0.02492229 -0.97401162 -0.8531866  -0.00859173  0.
  1.          0.        ]",[0. 1. 0.]
67,[[6.972288 7.573144 6.541434]],"[ 0.20727552  0.07202392 -0.88205158 -0.96058144 -0.00644337  0.
  1.          0.        ]",[0. 1. 0.]
68,[[7.0610824 7.5324807 6.3826056]],"[ 0.31676777  0.34225364 -0.15529335 -0.81693467  0.02424045  0.
  1.          0.        ]",[0. 1. 0.]
69,[[ 9.250721  9.708338 11.18672 ]],"[ 0.29020274  0.32932968 -0.15529335 -0.96907066  0.          1.
  0.          0.        ]",[0. 0. 1.]
70,[[7.5034866 8.232564  6.613489 ]],"[ 0.37465856  0.36998856 -0.00372464 -0.90142616  0.02504853  0.
  1.          0.        ]",[0. 1. 0.]
71,[[ 9.373409  9.671411 10.992928]],"[ 0.37689742  0.34790259  0.22110473 -0.89010529  0.          1.
  0.          0.        ]",[0. 0. 1.]
72,[[7.6102276 8.353217  6.6412425]],"[ 0.38066763  0.22491799 -0.16804841 -0.92717201  0.001092    0.
  1.          0.        ]",[0. 1. 0.]
